RESPONDENT_ID,LANGUAGE_CODE,SURVEY_TYPE,Q01. In what country were you born?,Q02. In what year were you born?,Q03. In what year did you move to the United States?,Q04. In what ZIP code do you live?,Q05. What is your preferred language?,Q06. How well would you say you speak English?,Q07-Verbatim. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?,Q07_CODE1. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?-1,Q07_CODE2. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -2,Q07_CODE3. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -3,"Q08. Overall, how much of a difference do you think you can have in making your neighborhood a better place to live?",Q09. How interested are you in the presidential election this year?,"Q10_01. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 1","Q10_02. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 2","Q10_03. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 3","Q10_04. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 4","Q10_05. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 5","Q10_06. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 6","Q10_07. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 7","Q10_08. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 8","Q10_09. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 9","Q10_10. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 10","Q10_11. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 11","Q10_12. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 12","Q10_13. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 13","Q13_OTHER. Other: (If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use? )",Q11. How easy is it to find information about elections and candidates in your preferred language?,Q12_01. Please tell us if you have done any of the following activities in the past 2 years. - 1,Q12_02. Please tell us if you have done any of the following activities in the past 2 years. - 2,Q12_03. Please tell us if you have done any of the following activities in the past 2 years. - 3,Q12_04. Please tell us if you have done any of the following activities in the past 2 years. - 4,Q12_05. Please tell us if you have done any of the following activities in the past 2 years. - 5,Q12_06. Please tell us if you have done any of the following activities in the past 2 years. - 6,Q12_07. Please tell us if you have done any of the following activities in the past 2 years. - 7,Q12_08. Please tell us if you have done any of the following activities in the past 2 years. - 8,Q12_09. Please tell us if you have done any of the following activities in the past 2 years. - 9,"Q13. Some people are registered to vote, while others are not. Which of the following best describes you?","Q13_OTHER. Other: (Some people are registered to vote, while others are not. Which of the following best describes you?)","Q14. If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote?","Q14_OTHER. Other: (If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote? )",Q15. Did you vote in the Presidential Election last November 2012?,"Q16. If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?","Q16_OTHER. Other: (If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?)",Q17. How likely is it that you will vote in the presidential election this November 2016?,Q18. How often have you voted in state and local elections?,"Q19. Have you ever been contacted and encouraged to vote by a candidate, political party, or other organization?",Q20. What is the highest level of education that you have completed?,Q21. Do you and your family own the place where you are living now or do you rent?,Q21_OTHER. Other: (Do you and your family own the place where you are living now or do you rent?),Q22. How many people (adults and children) currently live in your household?,Q23. Please select your gender:,Q23_OTHER. Other: (Please select your gender:),Q24. What was your total combined household income in 2015 before taxes?,"Q25. When it comes to getting around the city, which of these statements best describes your situation?","Q25_OTHER. Other: (When it comes to getting around the city, which of these statements best describes your situation?)",Q26. How did you hear about Seattle Votes?
11,Arabic,PAPER,Iraq,1984,2015, , ,Well,language / housing / work, Language help/Language specific education,Affordable housing/Low income housing,Jobs/Job search/More jobs available,I can make no difference at all,I am very interested,Internet,Ethnic Television,Television in English, , , , , , , , , , , ,It is difficult,I attended a government or school board meeting in my city,"I participated in one or more demonstrations, protests, marches, or rallies","I attended a PTA meeting, or other volunteer group at my child's school", , , , , , ,I am not currently eligible to register to vote, ,Voter registration information is not available in my preferred language, ,No,I was not registered, ,NA/Refused,Never, ,College degree,Low income housing/government housing,housing, ,NA/Refused, ,"$11,880 or less",I usually drive the car that I own, ,Iraqi Community
12,Arabic,PAPER,Iraq,1963,2014, , ,Well,Wars and dirty militias, Other, , ,I can make a moderate difference,I am somewhat interested,Internet, , , , , , , , , , , , , ,Somewhat easy, , , , , , , , , , , ,None/No Answer/Not applicable, ,No,NA/Refused, ,Somewhat likely,Never, ,Some high school,We rent our home, , ,Male, ,I don't know,NA/Refused, ,Highline Community College
13,Arabic,PAPER,Iraq,1996,2014, , ,Very well,Creating more jobs and scholarships,Jobs/Job search/More jobs available, Education/General educational resources, ,I can make a moderate difference,I am very interested,Internet,Ethnic Television,Friends and family,Television in English,Ethnic newspapers,Newspapers in English,Radio in English,My community organization(s)/service provider(s), , , , , , ,Somewhat easy,I have given money to an organization or candidate, , , , , , , , ,I am not currently eligible to register to vote, ,I don't know how/where to register/it's too complicated, ,No,I was out of town, ,Somewhat likely,Never, ,High school graduate or GED,We rent our home, , ,Male, ,"$11,881 to $24,300",I usually drive the car that I own, ,Highline Community College
14,Arabic,PAPER,Iraq,1982,2015, , ,Not well, , , , ,I can make a small difference,I am not interested,Friends and family, , , , , , , , , , , , , ,Somewhat easy, , , , , , , , , , , ,None/No Answer/Not applicable, ,NA/Refused,NA/Refused, ,NA/Refused,NA/Refused, ,NA/Refused,We live with relatives or friends, , ,NA/Refused, ,NA/Refused,I usually walk, ,Highline Community College
15,Arabic,PAPER,Iraq,1957,1914, , ,Not well, , , , ,I can make a small difference,I am somewhat interested, , , , , , , , , , , , , , ,Very easy, , , , , , , , , , , ,None/No Answer/Not applicable, ,NA/Refused,NA/Refused, ,NA/Refused,NA/Refused, ,NA/Refused,We rent our home, , ,Female, ,NA/Refused,I usually drive the car that I own, ,Highline Community College
16,Arabic,PAPER,Iraq,1987,2015, , ,Not well, , , , ,I can make a small difference,I am very interested,My community organization(s)/service provider(s), , , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, ,None/No Answer/Not applicable, ,No,I was not registered, ,NA/Refused,NA/Refused, ,None,NA/Refused, , ,NA/Refused, ,"$11,880 or less",I usually drive the car that I own, ,Highline Community College
17,Arabic,PAPER,Iraq,1988,2010,19168, ,Not well,housing,Affordable housing/Low income housing, , ,I can make no difference at all,I am not interested,Ethnic Television,My community organization(s)/service provider(s), , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, ,I don't know how/where to register/it's too complicated, ,No,I was not registered, ,Not likely at all,Never, ,High school graduate or GED,NA/Refused, , ,Male, ,"$24,301 to $40,890",I usually drive the car that I own, ,Iraqi Community
18,Arabic,PAPER,Sudan,1988,2013,22440, ,Not well,language, Language help/Language specific education, , ,I can make a moderate difference,I am somewhat interested,Ethnic Television, , , , , , , , , , , , , ,I have not found any,I attended a government or school board meeting in my city, , , , , , , , ,I am not currently eligible to register to vote, ,I don't know how/where to register/it's too complicated, ,No,I was out of town, ,I don't know,NA/Refused, ,Eighth grade or below,We rent our home, , ,Female, ,"$11,880 or less",I usually drive the car that I own, ,Puget Sound Training Center
19,Arabic,PAPER,Iraq,1966,2010,23407, ,Well, , , , ,I can make a small difference,I am somewhat interested,Internet, , , , , , , , , , , , , ,Somewhat easy,I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am not currently eligible to register to vote, ,None/No Answer/Not applicable, ,No,I was not registered, ,Not likely at all,Never, ,Eighth grade or below,We rent our home, , ,Male, ,"$11,880 or less",NA/Refused, ,MCRC
20,Arabic,PAPER,Iraq,1991,2012,23612, ,Well, , , , ,I can make a small difference,I am somewhat interested,Internet, , , , , , , , , , , , , ,Somewhat easy,I sent a message on Facebook or other social media about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, ,None/No Answer/Not applicable, ,No,I was not registered, ,Not likely at all,NA/Refused, ,High school graduate or GED,We rent our home, , ,NA/Refused, ,"$11,880 or less",NA/Refused, ,MCRC
21,Arabic,PAPER,Iraq,1955,2012,23612, ,Not well, , , , ,I can make a small difference,I am somewhat interested,Internet, , , , , , , , , , , , , ,It is difficult,I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am not currently eligible to register to vote, ,None/No Answer/Not applicable, ,No,I was not registered, ,Not likely at all,Never, ,Eighth grade or below,We rent our home, , ,Male, ,"$11,880 or less","I own a car, but I usually take public transportation", ,MCRC
22,Arabic,PAPER,Iraq,1991,2010,25823, ,Not well, , , , ,I can make a small difference,I am very interested,Internet, , , , , , , , , , , , , ,Somewhat easy,I sent a message on Facebook or other social media about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, ,None/No Answer/Not applicable, ,No,I was not registered, ,Not likely at all,NA/Refused, ,Eighth grade or below,We rent our home, , ,Male, ,"$11,880 or less",NA/Refused, ,MCRC
23,Chinese,WEB,China,1980,2016,90024,English,Not well,I do not know, Don’t know, , ,I can make no difference at all,I am somewhat interested,Internet,Friends and family,Library, , , , , , , , , , , ,Somewhat easy,I have given money to an organization or candidate, , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,I don't know,Never,No,College degree,We rent our home, ,3,Female, ,"$65,000 to $99,999","I own a car, but I usually take public transportation", ,School/College
24,Korean,WEB,Korea,1971,2005,90104,Korean,Not well,Need more ESL class, Language help/Language specific education, , ,I can make a moderate difference,I am very interested,Internet,Ethnic Television,Friends and family,Television in English,Ethnic newspapers,My place of worship,Ethinic radio,My community organization(s)/service provider(s),Library, , , , , ,Somewhat easy,I attended a government or school board meeting in my city,"I contacted a public official through a letter, email, phone, or in-person","I attended a PTA meeting, or other volunteer group at my child's school", , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, , , , ,I don't know,Never,No,High school graduate or GED,We live with relatives or friends, ,3,Male, ,"$11,881 to $24,300",I usually drive the car that I own, ,Other
25,Chinese,WEB,China,1990,2015,90108,Chinese,Not at all,The price of house in beacon hill is very high.,Affordable housing/Low income housing, , ,I can make no difference at all,I am not interested,Ethnic newspapers, , , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,Other:,In China,Somewhat likely,Never,No,None,We live with relatives or friends, ,9,Male, ,I don't know,I usually walk, ,Other
26,English,WEB,USSR/Russia/Soviet Union,1990,2015,90128,English,Well,"No serious problems. The only problem is language, but It is possible to solve it.", Don’t know, , ,I can make a moderate difference,I am somewhat interested,Internet,Newspapers in English, , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,Not in the US at that time,I was in another country,Not likely at all,Never,Yes,Graduate or professional degree,We rent our home, ,2,Female, ,"$65,000 to $99,999",I usually walk, ,School/College
27,Chinese,WEB,China,1996,2010,90876,Chinese,Not at all,"""You are all racists and nazis discriminating against people. You all look down on me in every aspect of life. You don't give me any work. You don't let me live well. White people should die and Chine",Discrimination/Social justice/Equality, , ,I can make no difference at all,I am very interested,Internet,Ethnic Television,Ethnic newspapers,Ethinic radio, , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies",I volunterred for an election activity such as a phone bank or registering people to vote, , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,Yes,None,We own our home, ,1,Female, ,"$24,301 to $40,890",I usually drive the car that I own, ,Television/Radio/Newspaper / News
28,Chinese,WEB,China,1990,2016,90876,Chinese,Not well,I don't know, Don’t know, , ,I can make a moderate difference,I am not interested,Internet,My community organization(s)/service provider(s),Library, , , , , , , , , , , ,It is difficult,I sent a message on Facebook or other social media about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not interested in the election, ,Somewhat likely,Never,No,College degree,We rent our home, ,2,Female, ,"$100,000 to $150,000",I usually drive the car that I own, , 
29,Chinese,WEB,China,1975,2015,91789,English,Well,"""Applied for political asylum and waiting to schedule an interview, can you speed it up some""",Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a moderate difference,I am very interested,Internet,My place of worship,Newspapers in English,Radio in English, , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I have given money to an organization or candidate, , , , , , , ,I am not currently eligible to register to vote, , , ,No,"I tried to vote, but was told I was not eligible", ,Somewhat likely,Never,No,College degree,We rent our home, ,4,Female, ,"$11,881 to $24,300",I usually drive the car that I own, ,Social Media / Facebook / Online meet up groups / All online social media sites
30,English,WEB,Romania,1982,1988,94555,English,Very well,None that comes to mind, Don’t know, , ,I can make a small difference,I am somewhat interested,Television in English,Newspapers in English,Radio in English, , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Never,No,College degree,We rent our home, ,2,Male, ,"$65,000 to $99,999",I usually drive the car that I own, ,City of Seattle (online/ email)
31,Vietnamese,WEB,Vietnam,1970,1993,96144,Vietnamese,Not at all, , , , ,I can make a moderate difference,I am very interested,Friends and family, , , , , , , , , , , , , ,It is difficult,I sent a message on Facebook or other social media about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, ,I am too busy, , , , ,Very likely,Rarely,No,None,We rent our home, ,3,Female, ,I don't know,I usually walk, ,Other
32,English,WEB,Phillipines,1972,1973,96862,English,Very well,Enough representation & voice in the community, Other, , ,I can make a small difference,I am not interested,Internet, , , , , , , , , , , , , ,Very easy,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Sometimes,No,College degree,We own our home, ,5,Male, ,"$100,000 to $150,000","I own a car, but I usually take public transportation", ,City of Seattle (online/ email)
33,English,WEB,India,1978,2000,97214,Tamil,Very well,More education about immigrant and refugee issues on all the levels of Government., Education/General educational resources, , ,I can make a small difference,I am very interested,Internet, , , , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Not likely at all,Never,No,Graduate or professional degree,We own our home, ,5,Female, ,"More than $150,000",I usually drive the car that I own, , 
34,English,WEB,Iran,1952,1971,97216,Farsi,Very well,Getting involved in social and political life, Other, , ,I can make a moderate difference,I am very interested,Internet,Television in English, , , , , , , , , , , , ,I have not found any,I have worked on a project or attended a meeting in my neighborhood,"I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue, , , , , , ,I am not currently eligible to register to vote, , , ,No,"I tried to vote, but was told I was not eligible", ,Very likely,Sometimes,Yes,Graduate or professional degree,We own our home, ,2,Male, ,"$100,000 to $150,000","I own a car, but I usually take public transportation", ,City of Seattle (online/ email)
35,English,PAPER,India,1966,1998,98001,Punjabi,Well,None, Don’t know, , ,I can make no difference at all,I am very interested,Television in English, , , , , , , , , , , , , ,Somewhat easy,I have given money to an organization or candidate, , , , , , , , ,I am registered to vote, , , ,No,I was not registered, ,Very likely, , ,High school graduate or GED,We own our home, ,6,Female, ,"$24,301 to $40,890",I usually drive the car that I own, ,Unite Here Local
36,Spanish,PAPER,Mexico,1932,2000,98001,Spanish,Not well,NA, , , ,I can make a big difference,I am very interested,My community organization(s)/service provider(s),Library, , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,None,We live with relatives or friends, ,9,Male, ,"$11,880 or less",I usually drive the car that I own, ,Seamar
37,Spanish,PAPER,Ecuador,1971,1990,98001,Spanish,Well,"""drugs, crime, work""", Improve safety/Reduce crime, , ,I can make a moderate difference,I am very interested,Internet,Ethnic Television,Ethinic radio, , , , , , , , , , , ,Very easy,"I participated in one or more demonstrations, protests, marches, or rallies","I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,High school graduate or GED,We rent our home, ,5,Male, ,"$40,891 to $64,999",I usually drive the car that I own, ,Seamar
38,Spanish,PAPER,Mexico,1942,2000,98001,Spanish, ,I am a student, Education/General educational resources, , ,I can make a small difference,I am very interested,Internet, , , , , , , , , , , , , ,Very easy, , , , , , , , , , , , , , , , ,Not likely at all, , , ,We rent our home, ,8,Male, ,"$24,301 to $40,890",I usually drive the car that I own, ,Seamar
39,Spanish,PAPER,Mexico,1971,1992,98001,Spanish,Not well,"""""""education, safety""""""", Education/General educational resources, Improve safety/Reduce crime, ,I can make a big difference,I am very interested,Internet,Ethnic Television,Friends and family,Television in English,Ethnic newspapers,Newspapers in English,Ethinic radio,Radio in English,My community organization(s)/service provider(s),Library, , , , ,It is difficult,I have worked on a project or attended a meeting in my neighborhood,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am not currently eligible to register to vote, , , , , , ,I don't know, , ,Some high school,We own our home, ,5,Female, ,"$40,891 to $64,999",I usually drive a car that I borrow, ,Seamar
40,Spanish,PAPER,Mexico,1948,2000,98001,Spanish,Not at all,education, Education/General educational resources, , ,I can make a small difference,I am very interested,Ethinic radio, , , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, , , , , , , , , ,None,We rent our home, ,8,Female, ,"$11,881 to $24,300","I usually use shared transportation, such as a carpool",my son,Seamar
