DeptCode,BCLName,ProgramName,2016 Actuals,2017 Adopted,2018 Endorsed,2018 Proposed
CRS,CRS REET II Support to Transportation,Roads - REET II,3995077,1662000,1150000,1650000
CRS,CRS REET II Support to Transportation,Sidewalk Maintenance - REET II,506418,0,0,2000000
CRS,CRS REET II Support to Transportation,Sidewalks & Pedestrian Facilities - REET II,584885,549000,49000,549000
CRS,CRS REET II Support to Transportation,Trails and Bike Paths - REET II,-50233,0,0,0
CRS,CRS REET II Support to Transportation,Transit & HOV - REET II,114208,0,0,0
CRS,CRS Street Vacation Support to Transportation,Bridges & Structures - SV,0,177000,0,0
CRS,CRS Street Vacation Support to Transportation,Freight Mobility,13201,0,0,0
CRS,CRS Street Vacation Support to Transportation,Intelligent Transportation System -SV,290429,0,0,0
CRS,CRS Street Vacation Support to Transportation,Roads - Street Vacations,160219,0,0,0
CRS,CRS Street Vacation Support to Transportation,Transit & HOV - SV,147685,0,0,0
CRS,CRS Support for Operating & Maintenance Expenditures - REET I,CRS O&M Expenditures,692700,0,0,0
CRS,CRS Support for Operating & Maintenance Expenditures - REET II,CRS O&M Support Program - REET II,947458,0,0,0
CRS,CRS-U Support to Transportation,Intelligent Transportation Systems - CRSU,303603,0,0,0
CRS,CRS-U Support to Transportation,Mercer Corridor - CRSU,759346,0,0,0
CRS,CRS-U Support to Transportation,New Trails and Bike Paths - CRSU,2328350,0,0,0
CRS,CRS-U Support to Transportation,Roads - CRSU,307086,0,0,0
CRS,CRS-U Support to Transportation,Transit & HOV - CRS-U,467620,0,0,0
CRS,Debt Service for REET I - Eligible Projects,CRS Debt SVC REET I,3209658,0,0,0
CRS,Design Commission - CRS REET I,Design Commission - CRS REET I,633776,502000,505519,505519
CRS,Tenant Relocation Assistance Program - CRS-UR,Tenant Relocation Assistance Program,79000,81000,83000,83000
CRS,Tenant Relocation Assistance Program REET I,Tenant Relocation Assistance Program REET I,337040,371000,382000,360000
FG,Reserves,Suquamish Project,1500000,0,0,0
DEBTSVC,Bond Interest and Redemption,Bond Interest and Redemption,1835380,3756239,2680775,2428620
DEBTSVC,UTGO Debt Service,UTGO - Bond Interest and Redemption,28852731,31181340,30769600,30375700
DEEL,K-12,K-12,0,27483534,28424715,29429215
DON,Community Building,Community Liaisons,0,472061,491370,492402
DON,Community Building,Duwamish River Opportunity Fund,0,343584,346516,371774
DON,Community Building,Find It Fix It Walks,0,30000,30000,30000
DON,Community Building,Housing Affordability and Livability Agenda,0,317584,175588,175846
DON,Community Building,Participatory Budgeting (Your Voice Your Choice),0,111950,115222,115480
DON,Executive Leadership and Administration,Internal Operations/Administration,0,1388752,1351599,1466153
FPEN,Firefighters' Pension,Pensions,7664023,8000000,8100000,8100000
DPRLEVY,2008 Parks Levy Fund BCL-1,2008 Parks Levy Fund Program,11628999,0,0,0
ETH,Election Vouchers,Election Vouchers,1015136,4281316,708622,708503
FAS,Central Waterfront Improvement Program Financial Support,FAS CWF Finance,1118829,1099000,924000,1880336
FAS,FileLocal Agency,FAS FileLocal Agency,259925,363952,374950,384754
FAS,Fleet Capital Program,Fleet Capital Program,26444988,21829848,21829848,21829848
FAS,Wheelchair Accessible Services Program,Wheelchair Accessible Services Program,654095,1487808,1487808,1487808
FBRL,Fiber Leasing Fund,Fiber Leasing Fund,721,155000,155000,155000
FG,Appropriation to General Fund Subfunds and Special Funds,Arts Account,7992924,9314128,9004368,10328191
FG,Appropriation to General Fund Subfunds and Special Funds,Cumulative Reserve Subfund - Capital Projects Account,2700000,0,0,0
FG,Appropriation to General Fund Subfunds and Special Funds,Cumulative Reserve Subfund - Revenue Stabilization Account,2223941,2777744,1868939,3850594
FG,Appropriation to General Fund Subfunds and Special Funds,Emergency Subfund,5807276,1697861,1521358,1542358
FG,Appropriation to General Fund Subfunds and Special Funds,Finance and Administrative Services Fund,29614281,28141267,29301550,31623816
FG,Appropriation to General Fund Subfunds and Special Funds,Information Technology Fund,8781020,19785295,21003276,20977678
FG,Appropriation to General Fund Subfunds and Special Funds,Office of Labor Standards Fund,0,0,0,5698216
FG,Appropriation to General Fund Subfunds and Special Funds,School Safety Traffic and Pedestrian Improvement Fund,0,850000,800000,0
FG,Reserves,Affordable Housing Planning on Publicly Owned Land,0,200000,200000,0
FG,Reserves,Building Code Impact Support,15050,0,0,0
FG,Reserves,City Multi-Disciplinary Team (MDT) Reserve,0,170000,170000,0
FG,Reserves,Domestic Violence Firearms Surrender Staff,0,0,0,138000
FG,Reserves,Emergency Homeless Program,2265000,0,0,0
FG,Reserves,Equitable Development Initiative Projects,0,6500000,0,0
FG,Reserves,Fire Station 39 Housing Services,0,475000,0,0
FG,Reserves,Food Lifeline,250000,475000,475000,0
FG,Reserves,Get Engaged: City Boards and Commissions,0,34937,34937,34937
FG,Reserves,Immigrant and Refugee Leadership Program,75000,0,0,0
FG,Reserves,Lambert House,0,100000,0,0
FG,Reserves,Mercer Teardrop Sale Study,0,100000,100000,0
FG,Reserves,North Seattle Human Services Summit,0,125000,125000,0
FG,Reserves,Northgate Affordable Housing Strategic Plan,0,90000,0,0
FG,Reserves,Police Civilian Community Liaison Services,0,200000,1800000,1800000
FG,Reserves,Police Domestic Violence Detectives,0,0,0,24000
FG,Reserves,Recurring Reserve-Family Leave Program,0,2000000,2000000,2000000
FG,Reserves,Recurring Reserve-Pacific Science Center Lease Reserve,120000,120000,120000,120000
FG,Reserves,Recurring Reserve-Police Intelligence Officer,0,15000,15000,0
FG,Reserves,Recurring Reserve-Portable Art Rental and Maintenance,304260,310154,310154,332966
FG,Reserves,Recurring Reserve-Puget Sound Clean Air Agency,647370,640000,640000,718000
FG,Reserves,Recurring Reserve-Street Lighting,9890000,12500000,13200000,13200000
FG,Reserves,Recurring Reserve-Workers' Compensation Total Disability Claims,0,0,0,500000
FG,Reserves,Seattle Opera,200000,0,0,0
FG,Reserves,Seattle Retirement Savings Plan,0,0,0,200000
FG,Reserves,Sexual Abuse Survivor Services,0,0,0,500000
FG,Reserves,Sweetened Beverage Tax Community Advisory Board Recommendations,0,0,0,2775156
FG,Reserves,Sweetened Beverage Tax Related Job Retraining,0,0,0,500000
FG,Reserves,University District Food Bank Building,250000,0,0,0
FG,Support to Operating Funds,Library Fund,51990217,52321519,53516033,53860290
FG,Support to Operating Funds,Low Income Housing Fund,0,29000000,0,32500
FG,Support to Operating Funds,Neighborhood Matching Subfund,3217054,3044195,3069648,2921715
FPEN,Firefighters' Pension,Administration,611431,670000,683248,630000
FPEN,Firefighters' Pension,Death Benefits,15000,17000,17000,17000
FPEN,Firefighters' Pension,Medical Benefits,11103091,11400000,12000000,12000000
HSD,Leadership and Administration,Compliance Unit,0,326236,333624,443457
HSD,Public Health Services,Gun Violence Prevention Program,50000,101000,102000,102000
HSD,Public Health Services,Health Care Access,430063,387816,395420,395420
HSD,Public Health Services,Health Care for the Homeless,1643999,1677765,1710663,1710663
SEAIT,Summit 8.8 - Application Services,Application Services,0,36336248,36545176,0
SEAIT,Summit 8.8 - Business Office,CTO/Executive Team,0,2522364,2068635,0
SEAIT,Summit 8.8 - Business Office,General and Administration,0,6314688,6758193,0
SEAIT,Summit 8.8 - Citywide IT Initiatives,Department of Education and Early Learning IT Initiatives,0,261079,258033,0
SEAIT,Summit 8.8 - Engineering and Operations,Engineering,0,1899330,1953468,0
SEAIT,"Summit 8.8 - Security, Privacy, and Compliance",Compliance,0,1215683,1229862,0
SEAIT,"Summit 8.8 - Security, Privacy, and Compliance",Privacy,0,516229,527733,0
SEAIT,"Summit 8.8 - Security, Privacy, and Compliance",Security,0,3343835,3386086,0
SEAIT,Summit 8.8 - Strategy and Planning,Citywide PMO,0,1385916,1412571,0
SEAIT,Summit 8.8 - Strategy and Planning,Enterprise Architecture,0,168143,169003,0
SEAIT,Summit 8.8 - Strategy and Planning,Portfolio,0,344941,354444,0
SEAIT,Summit 8.8 - Strategy and Planning,Project Resources,0,3942440,3964716,0
SEAIT,Summit 8.8 - Strategy and Planning,Service Management Office,0,735644,754263,0
SEAIT,Summit 9.2 - Applications Services,Applications,0,0,0,29228922
SEAIT,Summit 9.2 - Applications Services,Applications Maintenance,0,0,0,62509
SEAIT,Summit 9.2 - Applications Services,Cross Platform Services,0,0,0,8152285
SEAIT,Summit 9.2 - Applications Services,Divisional Indirect - Applications Services,0,0,0,-16381
SEAIT,Summit 9.2 - Applications Services,Shared Platforms,0,0,0,14589547
SEAIT,Summit 9.2 - Capital Improvement Projects,Application Services CIP,0,0,0,20541890
SEAIT,Summit 9.2 - Capital Improvement Projects,Citywide IT Initiatives CIP,0,0,0,1747324
SEAIT,Summit 9.2 - Capital Improvement Projects,Customer Support Services CIP,0,0,0,368404
SEAIT,Summit 9.2 - Capital Improvement Projects,Enterprise Computing Services CIP,0,0,0,940489
SEAIT,Summit 9.2 - Capital Improvement Projects,Programmatic Initiatives CIP,0,0,0,1552641
SEAIT,Summit 9.2 - Capital Improvement Projects,Radio Communications CIP,0,0,0,4649500
SEAIT,Summit 9.2 - Capital Improvement Projects,Seattle Channel CIP,0,0,0,381135
SEAIT,Summit 9.2 - Capital Improvement Projects,Security CIP,0,0,0,746773
SEAIT,Summit 9.2 - Capital Improvement Projects,Technology Engineering & Project Management CIP,0,0,0,4013252
SEAIT,Summit 9.2 - Capital Improvement Projects,Telecommunications CIP,0,0,0,1955297
SEAIT,Summit 9.2 - Client Services Management,Client Services Management,0,0,0,4273993
SEAIT,Summit 9.2 - Digital Engagement,Broadband & Community Technology,0,0,0,1815195
SEAIT,Summit 9.2 - Digital Engagement,Cable Communications,0,0,0,713079
SEAIT,Summit 9.2 - Digital Engagement,Citywide Web Services,0,0,0,3966122
SEAIT,Summit 9.2 - Digital Engagement,Open Data,0,0,0,1072288
SEAIT,Summit 9.2 - Digital Engagement,Privacy,0,0,0,748286
SEAIT,Summit 9.2 - Digital Engagement,Seattle Channel,0,0,0,3016461
SEAIT,Summit 9.2 - Engineering & Operations,Customer Support Services,0,0,0,20700170
SEAIT,Summit 9.2 - Engineering & Operations,Divisional Indirect - Engineering & Operations,0,0,0,119303
SEAIT,Summit 9.2 - Engineering & Operations,Engineering and Operations Maintenance,0,0,0,730031
SEAIT,Summit 9.2 - Engineering & Operations,Enterprise Computing,0,0,0,17018979
SEAIT,Summit 9.2 - Engineering & Operations,Network and Communications Technology,0,0,0,18544451
SEAIT,Summit 9.2 - Engineering & Operations,Operations Support,0,0,0,5902514
SEAIT,Summit 9.2 - IT Initiatives,Budget for Billed Services,0,0,0,12825374
SEAIT,Summit 9.2 - IT Initiatives,Citywide IT Initiatives,0,0,0,500000
SEAIT,Summit 9.2 - IT Initiatives,Department Operational Projects,0,0,0,38507692
SEAIT,Summit 9.2 - IT Initiatives,Project Services,0,0,0,6235264
SEAIT,Summit 9.2 - Leadership & Administration,Business Office,0,0,0,10379150
SEAIT,Summit 9.2 - Leadership & Administration,Citywide Indirect Costs,0,0,0,3932331
SEAIT,Summit 9.2 - Leadership & Administration,CTO / Executive Team,0,0,0,2867364
SEAIT,Summit 9.2 - Leadership & Administration,Pooled Benefits and PTO,0,0,0,0
SEAIT,Summit 9.2 - Leadership & Administration,Strategy & Planning,0,0,0,3083644
SEAIT,"Summit 9.2 - Security, Risk & Compliance","Security, Risk & Compliance",0,0,0,4079530
OCR,Civil Rights,Civil Rights,4567634,4169049,4327610,4343114
OH,Low-Income Housing Fund 16400,Homeownership and Sustainability - 16400,3171419,7387325,7387325,7419825
OH,Low-Income Housing Fund 16400,Multi-Family Production and Preservation - 16400,29638056,81429721,52550721,52550721
OIG,Office of the Inspector General for Public Safety,Office of the Inspector General for Public Safety,0,0,0,1454802
OLS,Office of Labor Standards,Labor Standards,2292057,5746889,5698246,5698216
OPCD,CDBG - Planning and Community Development,Planning and Community Development,0,0,430000,430000
PCTF,Group Term Life,Group Term Life Program,6047880,6798742,7138558,6991515
PCTF,Health Care,Health Care Program,197503601,210247436,223264152,226829859
PCTF,Industrial Insurance,Industrial Insurance Program,17557519,19679765,20474598,22078898
PCTF,Special Employment,Special Employment Program,18540,100000,100000,100000
PCTF,Transit Benefit,Transit Benefit Program,5347800,5874000,6232000,6232000
PCTF,Unemployment Insurance,Unemployment Insurance Program,1557401,1960404,1657076,1657076
PPEN,Police Relief and Pension,Administration,563444,634712,646655,647428
PPEN,Police Relief and Pension,Death Benefits,11000,18000,18000,18000
PPEN,Police Relief and Pension,Medical Benefits,13503293,14820000,15380000,15380000
PPEN,Police Relief and Pension,Pension Benefits,6487891,6600000,6500000,6500000
RET,Employee Benefit Management,Employees' Retirement,18055606,20445962,19473544,19231409
SCL,"Customer Service, Communications and Regulatory Affairs","Customer Service, Communications and Regulatory Affairs",0,43565482,45448991,93579227
SCL,Engineering and Technology Innovation O&M,Engineering and Technology Innovation O&M,0,23434009,24454084,24331728
SCL,Environmental Affairs O&M,Environmental Affairs O&M,0,14900786,15095298,15084791
SCL,Generation Operations and Engineering O&M,Generation Operations and Engineering O&M,0,23288606,23842980,23788029
SCL,Power Management and Strategic Planning O&M,Power Management and Strategic Planning O&M,0,70981644,78293800,16295977
SCL,Transmission and Distribution O&M,Transmission and Distribution O&M,0,60446782,64420747,77299331
SDCI,Construction Inspections,Construction Inspections Unallocated CBA,0,2318752,2318752,2318752
SDCI,Construction Permit Services,Construction Permit Services Overhead Allocations,0,-6907552,-6907552,-2271365
SDCI,Construction Permit Services,Construction Permit Services Unallocated CBA,0,4073484,4073484,4073484
SDCI,Department Leadership,Community Engagement,0,421621,433174,553068
SDCI,Department Leadership,Department Leadership Overhead Allocations,0,-14922949,-14936665,-16510713
SDCI,Department Leadership,Director's Office,0,894532,919389,926773
SDCI,Department Leadership,Finance and Accounting Services,0,12773312,12737874,14044739
SDCI,Department Leadership,Human Resources,0,833484,846228,986133
SDCI,Land Use Services,Land Use Services Unallocated CBA,0,1672241,1672241,1672241
SDCI,Planning,Planning Services,0,0,0,0
SDOT,General Expense,Judgment & Claims,3250869,2983510,2590087,2590087
SDOT,Major Maintenance/Replacement,"Signs, Signals and Markings",0,1492576,1525683,1525683
SPL,Administrative Services,Facilities and Security Services,8012626,8708720,8917995,8943616
SPP,Capacity Building,Capacity Building,316395,2806910,2913052,2913052
SPP,Contingency,Contingency,127802,364532,525656,525656
STCAR,First Hill Streetcar Operations,First Hill Streetcar,5533581,5475000,4915000,4915000
SZF,"Camera Operations, Administration, and Enforcement","Camera Operations, Administration, and Enforcement",4037557,2237557,2237557,2237557
SFD,Administration,Public Affairs,6327.11,606569,627020,634132
SMC,Court Administration,Court Administration,7678754.93,7844646,7754370,7896890
SPD,Criminal Investigations Administration,Criminal Investigations Administration,11262723.19,11664927,11973918,11966849
SEAIT,Summit 8.8 - Digital Engagement,Open Data,0,1082106,1102640,0
SDCI,Construction Inspections,Signs and Billboards,359045.74,400553,407616,389319
SFD,Resource Management,Training and Officer Development,2380737.95,2428373,2307515,2543619
SDOT,Major Maintenance/Replacement,Landslide Mitigation,497565.69,427000,440000,1439999
SDHR,Administrative Services,Administrative Services,7071281.12,7579940,7987549,6149374
ARTS,Arts Account,Cultural Facilities Operations,451450.19,473066,487169,861353
SDOT,Mobility-Capital,Corridor & Intersection Improvements,27627756.21,18090197,15985671,19771982
DON,Executive Leadership and Administration,Internal Operations/Administrative Services,1771498.74,0,0,0
ETH,Ethics and Elections,Ethics and Elections,806374.13,723675,745729,758669
OH,CDBG - Office of Housing,Homeownership and Sustainability - CDBG,518305.98,826191,823187,823187
FG,Support to Operating Funds,Seattle Center Fund,14209671.96,13044011,13226457,12981851
FAS,City Finance Division,Risk Management,1370427.9185,1375185,1411222,1365119
SEAIT,Summit 8.8 - Citywide IT Initiatives,Department of Construction and Inspections IT Initiatives,1901327.7,5279446,5333179,0
FG,Support to Operating Funds,Parks and Recreation Fund,100368273.96,103265523,106794463,108438810
SEAIT,Summit 8.8 - Digital Engagement,Community Technology,1471134.86,1688180,1674394,0
HSD,CDBG - Human Services Department,Leadership and Corporate Services,78343.11,1047706,1047706,1047706
SEAIT,Summit 8.8 - Business Office,Business Office,4340657.3,6671755,6826783,0
DEBTSVC,Debt Issuance Costs - UTGO,Debt Issuance Costs -UTGO,204278.46,0,0,0
FG,Support to Operating Funds,Firefighters Pension Fund,17163500.04,18787000,19481248,18840000
SEAIT,Summit 8.8 - Citywide IT Initiatives,Seattle Department of Construction and Inspections PIT IT Initiatives,774442.87,0,0,0
HSD,CDBG - Human Services Department,Homeless Intervention,4756339.53,3961545,3761545,3761545
SDOT,Mobility-Operations,Neighborhoods,2884160.47,3494883,3294715,3305978
DPR,Regional Parks and Strategic Outreach,Regional Parks and Strategic Outreach,5762080.64,6479638,6608472,7195496
DON,Community Building,Neighborhood Planning Outreach,440665.25,0,0,0
SPU,Other Operating,DWW LOB,40388612.69,46321340,47234137,49070103
SCL,Customer Services,Customer Services,33473901.69,0,0,0
FAS,City Purchasing and Contracting Services,Purchasing Services,1898014.6696,2605730,2679282,2693012
SCL,Taxes,Taxes,85443819.26,94370522,98774281,98774281
SFD,Grants & Reimbursables,Grants & Reimbursables,7590511.57,0,0,0
SDOT,Major Maintenance/Replacement,Roads,28605027.7,39475808,31559500,17354500
DEEL,Finance and Administration,Finance and Administration,2170039.77,2758056,2925384,3525515
SPU,Water Resources,Water Resources,17924672.86,8265947,8776459,8553244
SEAIT,Summit 8.8 - Business Office,Programmatic Initiatives,28237074.68,9205059,7697904,0
OED,Office of Economic Development,Finance and Operations,982550.28,836262,851863,855033
SPL,Library Programs and Services,Programs and Services - Central and Branch Operations,30285938.47,30229142,31114659,31048344
OH,CDBG - Office of Housing,Multi-Family Production and Preservation - CDBG,743199.16,748257,570227,570227
SDHR,Talent Management and Development,Talent Acquisition and Management,5792281.55,5312247,5425324,5029211
FG,Reserves,Recurring Reserve-State Examiner,860700.64,878416,878416,878416
SDOT,Mobility-Capital,Sidewalks & Pedestrian Facilities,11915018.32,25176523,18322104,17414328
SEAIT,Summit 8.8 - Citywide IT Initiatives,Seattle Police Department IT Initiatives,2559478.7622,8514602,8547360,0
SEAIT,Summit 8.8 - Strategy and Planning,IT Governance,4232927.24,515548,528766,0
SPU,General Expense,Debt Service,148985875.31,163528763,175169497,173597214
OED,Office of Economic Development,Economic Development Leadership,580312.6,556519,571040,672903
HSD,Aging and Disability Services - Area Agency on Aging,Healthy Aging,10622368.4,10669460,10814484,10704853
FG,Appropriation to General Fund Subfunds and Special Funds,General Bond Interest/Redemption Fund,10408900.44,16997478,18874364,17698522
FG,Appropriation to General Fund Subfunds and Special Funds,Judgment/Claims Subfund,620823.96,416819,361855,1761855
SFD,Operations,Office of the Operations Chief,20307830.09,18630446,18569267,19304459
SDOT,Mobility-Operations,Parking,9244552.77,12412263,12543873,13390163
CWI,Central Waterfront Improvement Fund Support to Transportation,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,2724825.09,1410000,1410000,1410000
LAW,Criminal,Criminal,7424343.46,8427727,8748632,8918976
SEAIT,Summit 8.8 - Citywide IT Initiatives,Seattle City Light IT Initiatives,13147821.39,22516920,24547229,0
SDOT,Mobility-Operations,Signs & Markings,3321236.82,3388117,3462814,3453100
SPD,West Precinct Patrol,West Precinct Patrol,30986549.84,30020142,30505050,30404001
SDOT,ROW Management,Street Use Permitting & Enforcement,31390891.9,32850996,32514501,40140426
SDOT,Major Maintenance/Replacement,Trails and Bike Paths,1415046.42,10165000,13180000,1000001
HSD,Division of Homeless Strategy and Investment,CDBG Administration,4872722.44,2118569,70158,3569214
SEAIT,Summit 8.8 - Citywide IT Initiatives,Seattle Center IT Initiatives,648297.66,874451,733683,0
SPU,Other Operating,Solid Waste LOB,18321489.21,21778290,22301912,24150720
FAS,City Finance Division,Business Licensing and Tax Administration,3952746.1936,3717446,3721367,4403901
DON,Community Building,People's Academy for Community Engagement,0,127260,130694,130952
FAS,Seattle Animal Shelter,Seattle Animal Shelter,3932739.3558,4410611,4524515,4530674
SDOT,Street Maintenance,Operations Support,5200403.57,4757423,4863206,5130283
HXM,Office of Hearing Examiner,Office of Hearing Examiner,719021.14,717415,725696,749984
SPL,Library Programs and Services,Collection and Access Services,15683882.44,15338649,15903896,17851332
CRS,Debt Service for REET II - Eligible Projects,CRS Debt Service REET II,2515760,1306000,812000,812000
SPU,General Expense,Other General Expenses,315545933.47,356401484,366586559,362381503
SCL,Compliance and Security,Compliance and Security,5126492.3,0,0,0
SDOT,Bridges & Structures,Structures Maintenance,5604814.05,7270492,7415988,6864667
SDOT,Department Management,Indirect Cost Recovery - Department Management,-33703357.08,-31279855,-31885076,-36160318
OPCD,Planning and Community Development,Planning,7486300.23,6680471,6745022,6703826
OH,Office of Housing Operating Fund 16600,Administration and Management - 16600,2464936.76,2983363,2745058,3082304
SCL,Long-Term Purchased Power,Long-Term Purchased Power,292554038.76,299074369,311102350,311102350
SFD,Fire Prevention,Public Education,415093.05,0,0,0
DPR,Seattle Conservation Corps,Seattle Conservation Corps,4974927.45,4708169,4829724,4830835
SEAIT,Summit 8.8 - Citywide IT Initiatives,Finance and Administrative Services IT Initiatives,4173624.56,1385308,1400532,0
SDOT,Mobility-Capital,Intelligent Transportation System,7525094.03,2800000,2800000,2800000
ARTS,Municipal Arts Fund,Public Art,2948736.8,3163493,3195336,3289860
SPD,Chief of Police,Chief of Police,11807944.7,9961761,10082880,10357850
SDOT,General Expense,City Central Costs,22826616.25,34649172,32098624,35709706
SPU,Other Operating,Water LOB,54308363.76,58203474,58774131,58484861
SCL,Financial Services - CIP,Financial Services - CIP,13491780.55,8633328,6204070,4163560
SPU,Protection of Beneficial Uses,Protection of Beneficial Uses,3421127.24,9897378,10283913,11730529
FAS,Regulatory Compliance and Consumer Protection,Regulatory Compliance and Consumer Protection,5190978.9354,7062313,9275904,8901573
FAS,Budget and Central Services,Budget and Central Services,5810419.3942,15211137,12137519,13990071
ARTS,Arts Account,Cultural Partnerships,4576975.73,4927362,5132161,5658211
FG,Reserves,Recurring Reserve-Tax Refund Interest,127504.57,775000,775000,775000
CEN,McCaw Hall,McCaw Hall,4921126.45,4658612,4796867,4810674
EDLEVY,Early Learning and School Readiness,Early Learning and School Readiness,7947568.79,10173386,11084099,11084099
NMF,Neighborhood Matching Fund,Large Projects Fund,1219920.46,1544512,1544512,1544512
SEAIT,Summit 8.8 - Engineering and Operations,Data Network Services,3844031.25,0,0,0
SZF,"School Safety Education and Outreach, Infrastructure Maintenance, and Capital Improvements",Capital Improvements,1646262.68,5646370,3792104,3792104
SEAIT,Summit 8.8 - Engineering and Operations,Enterprise Computing,15078840.54,22062387,21930812,0
OH,Office of Housing Operating Fund 16600,Multi-Family Production and Preservation - 16600,1096026.12,1381810,1505820,1620634
SPL,Library Programs and Services,Library Programs and Services Director,941373.76,1474846,1496346,1498198
SPU,"Flooding, Sewer Back-up, and Landslides","Flooding, Sewer Back-up, and Landslides",10910899.79,18646186,32178536,16565889
FG,Support to Operating Funds,Transportation Fund,45507610.96,42966162,41608394,41903976
SCL,Conservation Resources and Environmental Affairs O&M,Conservation Resources and Environmental Affairs O&M,92510853.23,0,0,0
SEAIT,Summit 8.8 - Citywide IT Initiatives,Office of Arts and Culture IT Initiatives,80829.6,153536,154294,0
DPR,"Planning, Development, and Acquisition","Planning, Development, and Acquisition",7619049.44,7574518,7770800,7934884
SPU,Customer Service,Customer Service,28878199.38,34720866,35499093,34903195
SEAIT,Summit 8.8 - Citywide IT Initiatives,Human Services Department IT Initiatives,675220.63,1270187,1132054,0
SFD,Administration,Information Systems,5154066.97,7805386,7547143,7708403
FAS,Technical Services,Capital Development and Construction Management,4073735.6335,4547091,4672607,4532873
HSD,Division of Homeless Strategy and Investment,Homeless Strategy and Investments,6307352.13,54427839,50683338,55201756
FAS,City Finance Division,City Financial Management,1724974.3433,1778394,1831308,1595787
SEAIT,Summit 8.8 - Engineering and Operations,Radio Network,757062.47,0,0,0
SDOT,Department Management,Revenue Development,469831.48,488870,501987,501986
STCAR,South Lake Union Streetcar Operations,South Lake Union Streetcar Operations,1020593.8,745000,745000,745000
ARTS,Cultural Space,Cultural Space,731247.92,1921765,1392294,1337553
SPD,Narcotics Investigations,Narcotics Investigations,4927770.41,5202343,5251337,5240330
SPU,Rehabilitation and Heavy Equipment,Rehabilitation and Heavy Equipment,38170.43,400000,120000,270000
HSD,Division of Homeless Strategy and Investment,Mayor's Office of Domestic Violence and Sexual Assault Prevention,93814.47,0,0,0
DEBTSVC,Debt Issuance Costs - LTGO,Debt Issuance Costs - LTGO,429945.87,3128500,1630037,2169941
SPD,East Precinct,East Precinct,23726644.24,23547142,23922264,23814024
CWI,Central Waterfront Improvement Fund Interest Expense,Central Waterfront Improvement Fund Interest Expense,274731.68,291155,468881,468881
SDOT,Major Projects,Spokane Street Viaduct,8086.81,0,0,0
SPU,Administration,Administration,46248021.56,33709922,34637680,39112005
