DeptCode,BCLName,ProgramName,2015 Actual,2015 Adopted,2016 Endorsed,2016 Adopted
CEN,Key Arena (00163-CIP),KeyArena Improvements & Repairs,0.00,250000.00,400000.00,350000.00
CEN,KeyArena,KeyArena,7804836.00,7439541.00,7692926.00,7656446.00
CEN,McCaw Hall,McCaw Hall,4344141.00,4266907.00,4347609.00,4344814.00
CEN,McCaw Hall Capital Reserve Fund (34070-CIP),McCaw Hall Asset Preservation,0.00,531000.00,545000.00,545000.00
CEN,McCaw Hall Capital Reserve Fund (34070-CIP),(blank),0.00,0.00,0.00,0.00
CEN,Monorail Improvements (00164-CIP),Monorail Improvements,0.00,1104000.00,923000.00,923000.00
CEN,Monorail Improvements (00164-CIP),Monorail Improvements Debt Service,0.00,550000.00,551000.00,551000.00
CEN,Monorail Improvements (00164-CIP),(blank),1099562.00,0.00,0.00,0.00
CEN,Parking Repairs and Improvements (00163-CIP),Parking Repairs and Improvements,0.00,456000.00,0.00,240000.00
CEN,Public Gathering Space Improvements (00163-CIP),Public Gathering Space Improvements,0.00,0.00,671000.00,671000.00
CEN,Public Gathering Space Improvements (00164-CIP),Public Gathering Space Improvements,0.00,90000.00,90000.00,90000.00
CEN,Utility Infrastructure (00163-CIP),Utility Infrastructure Master Plan & Repairs,0.00,420000.00,827000.00,727000.00
CEN,Utility Infrastructure (00163-CIP),(blank),0.00,100000.00,0.00,0.00
CIV,Civil Service Commissions,Civil Service Commissions,309230.00,518133.00,519606.00,506518.00
CJCS,Indigent Defense Services,Indigent Defense Services,5702307.00,7171347.00,7333471.00,7333471.00
CJCS,Jail Services,Jail Services,17005480.00,16989161.00,17087312.00,17087312.00
CPC,Office of the Community Police Commission,Office of the Community Police Commission,465491.00,818564.00,829555.00,850480.00
CRS,Artwork Conservation - OACA - CRS REET I,Artwork Conservation - OACA REET I,157698.00,0.00,0.00,0.00
CRS,Artwork Conservation - OACA - CRS-UR,Artwork Conservation - OACA,0.00,187000.00,187000.00,187000.00
CRS,CRS REET I Support to McCaw Hall Fund,CRS REET I Support to McCaw Hall Fund,250000.00,258000.00,265000.00,265000.00
CRS,CRS REET I Support to Transportation,Corridor & Intersection Improvements - REET I,71000.00,0.00,0.00,0.00
CRS,CRS REET I Support to Transportation,Roads - REET I,1067508.00,3500000.00,0.00,0.00
CRS,CRS REET I Support to Transportation,Trails and Bike Paths - REET I,210000.00,0.00,0.00,0.00
CRS,CRS REET II Support to Transportation,Alaskan Way Viaduct - REET II,0.00,1530000.00,0.00,14940000.00
CRS,CRS REET II Support to Transportation,Bridges & Structures - REET II,3857852.00,2675000.00,3571000.00,3571000.00
CRS,CRS REET II Support to Transportation,Corridor & Intersection Improvements - REET II,770424.00,2700000.00,708000.00,708000.00
CRS,CRS REET II Support to Transportation,Debt Service (SDOT) - REET II,1362476.00,1362000.00,1346000.00,1348313.00
CRS,CRS REET II Support to Transportation,Freight Mobility - REET II,127000.00,0.00,1013000.00,1013000.00
CRS,CRS REET II Support to Transportation,Intelligent Transportation System - REET II,927647.00,1625000.00,800000.00,800000.00
CRS,CRS REET II Support to Transportation,Landslide Mitigation - REET II,160000.00,200000.00,200000.00,200000.00
CRS,CRS REET II Support to Transportation,Neighborhood Enhancements - REET II,1835760.00,2140000.00,1000000.00,1793000.00
CRS,CRS REET II Support to Transportation,New Trails and Bike Paths - REET II,239719.00,0.00,100000.00,100000.00
CRS,CRS REET II Support to Transportation,Roads - REET II,7577298.00,1850000.00,6650000.00,1150000.00
CRS,CRS REET II Support to Transportation,Sidewalk Maintenance - REET II,312522.00,0.00,0.00,0.00
CRS,CRS REET II Support to Transportation,Sidewalks & Pedestrian Facilities - REET II,5876241.00,12452000.00,2049000.00,481000.00
CRS,CRS REET II Support to Transportation,Trails and Bike Paths - REET II,92362.00,0.00,0.00,0.00
CRS,CRS REET II Support to Transportation,Transit & HOV - REET II,0.00,0.00,0.00,0.00
CRS,CRS Street Vacation Support to Transportation,Alaskan Way Viaduct - SV,0.00,0.00,1543000.00,1543000.00
CRS,CRS Street Vacation Support to Transportation,Bridges & Structures - SV,0.00,0.00,836000.00,2660000.00
DOIT,Engineering and Operations,Radio Network,1201860.00,1528751.00,1378226.00,876940.00
CRS,CRS Street Vacation Support to Transportation,Corridor and Intersection Improvements - CRS-SV,0.00,0.00,0.00,0.00
CRS,CRS Street Vacation Support to Transportation,Freight Mobility,2072.00,256000.00,0.00,0.00
CRS,CRS Street Vacation Support to Transportation,Intelligent Transportation System - SV,0.00,1300000.00,0.00,0.00
CRS,CRS Street Vacation Support to Transportation,Neighborhood Enhancements - CRS-SV,0.00,500000.00,0.00,0.00
CRS,CRS Street Vacation Support to Transportation,Roads - Street Vacations,0.00,0.00,0.00,795000.00
CRS,CRS Street Vacation Support to Transportation,Transit & HOV - SV,728.00,0.00,1016000.00,1411000.00
CRS,CRS Support for Operating & Maintenance Expenditures - REET I,CRS O&M Expenditures,706280.00,1000000.00,1000000.00,1000000.00
CRS,CRS Support for Operating & Maintenance Expenditures - REET II,CRS O&M Support Program - REET II,944545.00,1000000.00,1000000.00,1000000.00
CRS,CRS Support for Operating & Maintenance Expenditures - South Lake Union Property Proceeds,South Lake Union Transfer to GF,0.00,0.00,0.00,100000.00
CRS,CRS-U Support to General Subfund,CRS-U Support to General Subfund,30000.00,400000.00,0.00,0.00
CRS,CRS-U Support to Transportation,CRS-U Support to Transportation,0.00,0.00,1000000.00,2300000.00
CRS,CRS-U Support to Transportation,Debt Service (SDOT) - CRS-U,504500.00,0.00,0.00,0.00
CRS,CRS-U Support to Transportation,Transit & HOV - CRS-U,1083910.00,0.00,0.00,0.00
CRS,Debt Service for REET  II -  Eligible Projects,CRS Debt Service REET II,0.00,0.00,0.00,2751762.00
CRS,Debt Service for REET I - Eligible Projects,CRS Debt SVC REET I,0.00,0.00,0.00,3239762.00
CRS,Design Commission - CRS REET I,Design Commission - CRS REET I,575753.00,593026.00,610816.00,610816.00
CRS,Tenant Relocation Assistance Program - CRS-UR,Tenant Relocation Assistance Program,75678.00,77000.00,79000.00,79000.00
CRS,Tenant Relocation Assistance Program REET I,Tenant Relocation Assistance Program REET I,289433.00,315436.00,360000.00,360000.00
CWI,Central Waterfront Improvement Fund Interest Expense,Central Waterfront Improvement Fund Interest Expense,394.00,349258.00,1696235.00,416555.00
CWI,Central Waterfront Improvement Fund Support to Transportation,Central Waterfront Improvement Fund Support to Transportation Budget Control Level,9913173.00,2450000.00,27850000.00,0.00
DEBTSVC,Bond Interest and Redemption,Bond Interest and Redemption,0.00,2223747.00,1831160.00,1835380.00
DEBTSVC,Debt Issuance Costs - LTGO,Debt Issuance Costs - LTGO,0.00,1826848.00,2241234.00,3908696.00
DEBTSVC,Debt Issuance Costs - UTGO,Debt Issuance Costs -UTGO,0.00,4041000.00,2403000.00,1250072.00
DEBTSVC,UTGO Debt Service,UTGO - Bond Interest and Redemption,0.00,23941994.00,30842645.00,30462199.00
DEEL,Director's Office,Director's Office,0.00,23709171.00,25710341.00,25819499.00
DEEL,Early Learning,Early Learning,0.00,22600943.00,27773316.00,27025383.00
DEEL,Finance and Administration,Finance and Administration,0.00,1487623.00,1612804.00,2166730.00
DEEL,Youth Violence Prevention Initiative,Youth Violence Prevention Initiative,0.00,5719030.00,5872040.00,0.00
DOIT,Business Office,Finance and Administration,2521344.00,3793632.00,3403302.00,1989338.00
DOIT,Business Office,General and Administration,8130415.00,28679940.00,12961346.00,5866905.00
DOIT,Digital Engagement,Citywide Web Team,2149806.00,2156449.00,2170692.00,906650.00
DOIT,Digital Engagement,Community Technology,1278856.00,1503971.00,1366670.00,703404.00
DOIT,Digital Engagement,Office of Cable Communications,721291.00,875784.00,830849.00,275363.00
DOIT,Digital Engagement,Seattle Channel,3228695.00,3434041.00,3449325.00,1452622.00
DOIT,Engineering and Operations,Communications Shop,1978827.00,1809549.00,1831265.00,605248.00
DOIT,Engineering and Operations,Data Network Services,3167018.00,4176486.00,4130951.00,2404636.00
DOIT,Engineering and Operations,Enterprise Computing Services,6273844.00,8055838.00,7723804.00,6462866.00
DOIT,Engineering and Operations,"Messaging, Collaboration and Directory Services",3356013.00,2847715.00,2894519.00,1736007.00
DOIT,Engineering and Operations,Service Desk,1196266.00,1477426.00,2249134.00,1059664.00
DOIT,Engineering and Operations,Technical Support Services,2068660.00,2239556.00,2564229.00,1015152.00
DOIT,Engineering and Operations,Technology Engineering and Project Management,3047517.00,5216198.00,5407704.00,4456963.00
DOIT,Engineering and Operations,Technology Infrastructure Grants,323471.00,0.00,0.00,0.00
DOIT,Engineering and Operations,Telephone Services,8629774.00,9769775.00,9399083.00,3881783.00
DOIT,Engineering and Operations,Warehouse,1071605.00,1258020.00,1282182.00,426037.00
DOIT,"Leadership, Planning and Security",Citywide Technology Leadership and Governance,1810304.00,2075900.00,2092098.00,2587221.00
DOIT,"Leadership, Planning and Security",Information Security Office,419434.00,1755726.00,1811168.00,2077673.00
DON,Community Building,Historic Preservation-Community Building,899479.00,943867.00,934105.00,861825.00
DON,Community Building,Major Institutions and Schools,225878.00,236308.00,237942.00,234938.00
DON,Community Building,Neighborhood District Coordinators,1375335.00,1331687.00,1343122.00,1551655.00
DON,Community Building,Neighborhood Planning Outreach,234291.00,293055.00,296953.00,371882.00
DON,Community Building,P-Patch Community Gardens,852001.00,884118.00,891856.00,903764.00
DON,Director's Office,Communications,166288.00,159162.00,160198.00,374138.00
DON,Director's Office,Executive Leadership,276008.00,561100.00,312696.00,869966.00
DON,Internal Operations,Internal Operations/Administrative Services,1473048.00,1450936.00,1470654.00,1873097.00
DON,Office for Education,Office for Education,944612.00,0.00,0.00,0.00
DON,Youth Violence Prevention,Youth Violence Prevention,5361446.00,0.00,0.00,0.00
DPD,Annual Certification and Inspection,Annual Certification and Inspection,4009206.00,4160425.00,4225807.00,4096261.00
DPD,Code Compliance,Code Compliance,4648672.00,4916438.00,5064076.00,5389568.00
DPD,Code Compliance,Code Development,0.00,0.00,0.00,1043946.00
DPD,Code Compliance,Rental Housing,1873966.00,1883088.00,2327644.00,2437256.00
DPD,Construction Inspections,Building Inspections,5045741.00,5513090.00,5597973.00,5697741.00
DPD,Construction Inspections,Construction Inspections Unallocated CBA,0.00,2266620.00,2318752.00,2318752.00
DPD,Construction Inspections,Electrical Inspections,5180504.00,5090879.00,5169572.00,5792546.00
DPD,Construction Inspections,Signs and Billboards,514057.00,354586.00,360913.00,349985.00
DPD,Construction Inspections,Site Review and Inspection,3116006.00,3357416.00,3406306.00,4302502.00
DPD,Construction Permit Services,Construction Permit Services Overhead Allocations,0.00,,,
DPD,Construction Permit Services,Construction Permit Services Unallocated CBA,0.00,3981900.00,4073484.00,4073484.00
DPD,Construction Permit Services,Construction Plans Administration,13494660.00,17115636.00,16793956.00,17053370.00
DPD,Construction Permit Services,Operations Division Management,0.00,2009727.00,2035474.00,2020647.00
DPD,Department Leadership,Community Engagement,0.00,758809.00,764694.00,396953.00
DPD,Department Leadership,Department Leadership Overhead Allocations,0.00,,,
DPD,Department Leadership,Director's Office,0.00,700751.00,705059.00,841686.00
DPD,Department Leadership,Finance and Accounting Services,0.00,6767751.00,6987335.00,6880689.00
DPD,Department Leadership,Human Resources,0.00,314331.00,316931.00,313306.00
DPD,Department Leadership,Information Technology Services,0.00,5897407.00,6328903.00,7118740.00
DPD,Land Use Services,Land Use Services,11195985.00,12522079.00,12731598.00,13114084.00
DPD,Land Use Services,Land Use Services Unallocated CBA,0.00,1660500.00,1672241.00,1672241.00
DPD,Land Use Services,Public Resource Center,1755310.00,1833036.00,1868473.00,1860374.00
DPD,Planning,Design Commission,589386.00,589540.00,599992.00,0.00
DPD,Planning,Planning Commission,554853.00,554399.00,562964.00,0.00
DPD,Planning,Planning Services,6499016.00,5822845.00,5896717.00,0.00
DPD,Process Improvements and Technology,Process Improvements and Technology,1757031.00,6379000.00,3728417.00,3742411.00
DPR,1999 Community Center Improvements (33800-CIP),Belltown Neighborhood Center,0.00,200000.00,0.00,0.00
DPR,1999 Community Center Improvements (33800-CIP),(blank),132841.00,0.00,0.00,0.00
DPR,2008 Parks Levy- Forest & Stream Restoration (33860-CIP),Urban Forestry - Green Seattle Partnership- 2008 Parks Levy,0.00,427000.00,0.00,0.00
DPR,2008 Parks Levy- Green Space Acquisition (33860-CIP),Green Space Acquisitions- 2008 Parks Levy,0.00,600000.00,0.00,0.00
DPR,2008 Parks Levy- Neighborhood Parks and Playgrounds (33860-CIP),(blank),17648446.00,0.00,0.00,0.00
DPR,Ballfields/Athletic Courts/Play Areas (00100-CIP),Play Area Renovations,0.00,0.00,0.00,60000.00
DPR,Ballfields/Athletic Courts/Play Areas (00161-CIP),Play Area Renovations,0.00,0.00,0.00,488000.00
DPR,Ballfields/Athletic Courts/Play Areas (00161-CIP),Play Area Safety Program,0.00,0.00,150000.00,0.00
DPR,Ballfields/Athletic Courts/Play Areas (00163-CIP),Play Area Safety Program,0.00,150000.00,0.00,150000.00
DPR,Ballfields/Athletic Courts/Play Areas (00163-CIP),Pratt Park Water Feature Renovation,0.00,171000.00,0.00,0.00
DPR,Ballfields/Athletic Courts/Play Areas (36000-CIP),Mt Baker Park Play Area Renovation,0.00,310000.00,0.00,0.00
DPR,Ballfields/Athletic Courts/Play Areas (36000-CIP),Play Area Renovations,0.00,500000.00,1000000.00,452000.00
DPR,Ballfields/Athletic Courts/Play Areas (36000-CIP),Sam Smith Park Play Area Renovation,0.00,195000.00,0.00,0.00
DPR,Building Component Renovations (00100-CIP),(blank),0.00,0.00,0.00,0.00
DPR,Building Component Renovations (00161-CIP),Roof & Building Envelope Program,0.00,0.00,350000.00,0.00
DPR,Building Component Renovations (00161-CIP),Utility Conservation Program,0.00,0.00,250000.00,0.00
DPR,Building Component Renovations (00163-CIP),ADA Compliance - Parks,0.00,1091000.00,0.00,0.00
DPR,Building Component Renovations (00163-CIP),Comfort Station Renovations,0.00,0.00,0.00,300000.00
DPR,Building Component Renovations (00163-CIP),Crew Quarters Replacement (Magnuson Park),0.00,1054000.00,0.00,0.00
DPR,Building Component Renovations (00163-CIP),Roof & Building Envelope Program,0.00,350000.00,0.00,350000.00
DPR,Building Component Renovations (00163-CIP),Utility Conservation Program,0.00,250000.00,0.00,250000.00
DPR,Building Component Renovations (00164-CIP),Comfort Station Renovations,0.00,320000.00,0.00,0.00
DPR,Building Component Renovations (00164-CIP),HVAC System Duct Cleaning Program - Large Buildings,0.00,35000.00,35000.00,35000.00
DPR,Building Component Renovations (00164-CIP),Utility Conservation Program,0.00,105000.00,105000.00,105000.00
DPR,Building Component Renovations (17810-CIP),ADA Compliance - Parks,0.00,400000.00,0.00,0.00
DPR,Building Component Renovations (17810-CIP),(blank),743599.00,0.00,0.00,0.00
DPR,Building Component Renovations (35300-CIP),(blank),0.00,0.00,0.00,0.00
DPR,Building Component Renovations (35600-CIP),(blank),1893030.00,0.00,0.00,0.00
DPR,Building Component Renovations (36000-CIP),Comfort Station Renovations,0.00,399000.00,660000.00,660000.00
DPR,Building For The Future - CIP (00163-CIP),Smith Cove Park Development,0.00,30000.00,0.00,0.00
DPR,Building For The Future - CIP (33140-CIP),Activating and Connecting to Greenways,0.00,0.00,200000.00,200000.00
DPR,Building For The Future - CIP (33140-CIP),Develop 14 New Parks at Land-Banked Sites,0.00,0.00,4998000.00,4998000.00
DPR,Building For The Future - CIP (33140-CIP),Major Projects Challenge Fund,0.00,0.00,1600000.00,1600000.00
DPR,Building For The Future - CIP (33140-CIP),Park Land Acquisition and Leverage Fund,0.00,0.00,2000000.00,2000000.00
DPR,Building For The Future - CIP (33140-CIP),Smith Cove Park Development,0.00,0.00,0.00,550000.00
DPR,Building For The Future - CIP (36300-CIP),Smith Cove Park Development,0.00,0.00,6000000.00,0.00
DPR,Citywide and Neighborhood Projects (00161-CIP),Landscape Restoration Program,0.00,0.00,430000.00,0.00
DPR,Citywide and Neighborhood Projects (00161-CIP),Neighborhood Capital Program,0.00,158000.00,0.00,207000.00
DPR,Citywide and Neighborhood Projects (00161-CIP),Neighborhood Response Program,0.00,0.00,250000.00,0.00
DPR,Citywide and Neighborhood Projects (00161-CIP),Trails Renovation Program,0.00,0.00,350000.00,0.00
DPR,Citywide and Neighborhood Projects (00163-CIP),Landscape Restoration Program,0.00,400000.00,0.00,430000.00
DPR,Citywide and Neighborhood Projects (00163-CIP),Neighborhood Response Program,0.00,250000.00,0.00,250000.00
DPR,Citywide and Neighborhood Projects (00163-CIP),Parks Acquisition and Development,0.00,400000.00,0.00,0.00
DPR,Citywide and Neighborhood Projects (00163-CIP),Trails Renovation Program,0.00,350000.00,0.00,350000.00
DPR,Citywide and Neighborhood Projects (00164-CIP),Parks Acquisition and Development,0.00,2905753.00,0.00,0.00
DPR,Debt Service and Contract Obligation (00161-CIP),Aquarium - Pier 59 Piling Replacement and Aquarium Redevelopment Debt Service,0.00,1617000.00,1559000.00,1560000.00
DPR,Debt Service and Contract Obligation (00161-CIP),Gas Works Park - Remediation,0.00,0.00,402000.00,0.00
DPR,Debt Service and Contract Obligation (00161-CIP),(blank),7164609.00,0.00,0.00,0.00
DPR,Debt Service and Contract Obligation (00163-CIP),Gas Works Park - Remediation,0.00,280000.00,0.00,1802000.00
DPR,Debt Service and Contract Obligation (00163-CIP),Hubbard Homestead Park (Northgate) Acquisition- Debt Service,0.00,239000.00,242000.00,236000.00
DPR,Debt Service and Contract Obligation (00163-CIP),Parks Maintenance Facility Acquisition - Debt Service,0.00,561000.00,563000.00,563000.00
DPR,Debt Service and Contract Obligation (00163-CIP),(blank),10268873.00,0.00,0.00,0.00
DPR,Debt Service and Contract Obligation (00164-CIP),Aquarium - Pier 59 Piling Replacement and Aquarium Redevelopment Debt Service,0.00,1704000.00,171000.00,171000.00
DPR,Debt Service and Contract Obligation (00164-CIP),(blank),5708019.00,0.00,0.00,0.00
DPR,Docks/Piers/Floats/Seawalls/Shorelines (00161-CIP),Aquarium Expansion,0.00,490000.00,0.00,0.00
DPR,Docks/Piers/Floats/Seawalls/Shorelines (00161-CIP),Aquarium Major Maintenance Commitment,0.00,824000.00,300000.00,300000.00
DPR,Docks/Piers/Floats/Seawalls/Shorelines (00161-CIP),Green Lake Park Alum Treatment,0.00,300000.00,1200000.00,0.00
DPR,Docks/Piers/Floats/Seawalls/Shorelines (00163-CIP),Aquarium Expansion,0.00,0.00,0.00,600000.00
DPR,Docks/Piers/Floats/Seawalls/Shorelines (00163-CIP),Bell Harbor Marina,0.00,1000000.00,1000000.00,1000000.00
DPR,Docks/Piers/Floats/Seawalls/Shorelines (00163-CIP),Boat Moorage Restoration,0.00,0.00,2000000.00,2000000.00
DPR,Docks/Piers/Floats/Seawalls/Shorelines (00163-CIP),Green Lake Park Alum Treatment,0.00,0.00,0.00,1200000.00
DPR,Docks/Piers/Floats/Seawalls/Shorelines (00164-CIP),Boat Moorage Restoration,0.00,60000.00,60000.00,0.00
DPR,Docks/Piers/Floats/Seawalls/Shorelines (35900-CIP),Aquarium Expansion,0.00,250000.00,100000.00,0.00
DPR,Docks/Piers/Floats/Seawalls/Shorelines (35900-CIP),Parks Central Waterfront Piers Rehabilitation,0.00,0.00,6100000.00,2247000.00
DPR,Docks/Piers/Floats/Seawalls/Shorelines (61500-CIP),Beach Restoration Program,0.00,12000.00,25000.00,25000.00
DPR,Environmental Learning and Programs,Environmental Learning and Programs,1453843.00,1109594.00,1131714.00,1106828.00
DPR,Facility and Structure Maintenance,Facility and Structure Maintenance,15466793.00,16888837.00,17997271.00,17597970.00
DPR,Finance and Administration,Finance and Administration,8099784.00,10358225.00,12429737.00,14294669.00
DPR,Fix It First - CIP (33140-CIP),Community Center Rehabilitation & Development,0.00,358000.00,4329000.00,4329000.00
DPR,Fix It First - CIP (33140-CIP),Major Maintenance Backlog and Asset Management,0.00,844000.00,16862000.00,16862000.00
DPR,Fix It First - CIP (33140-CIP),Saving our City Forests,0.00,354000.00,2197000.00,2197000.00
DPR,Fix It First - CIP (33140-CIP),Zoo Major Maintenance,0.00,500000.00,1800000.00,1800000.00
DPR,Forest Restoration (00161-CIP),Urban Forestry - Forest Restoration Program,0.00,0.00,200000.00,0.00
DPR,Forest Restoration (00161-CIP),Urban Forestry - Green Seattle Partnership,0.00,0.00,1700000.00,0.00
DPR,Forest Restoration (00161-CIP),Urban Forestry - Tree Replacement,0.00,0.00,95000.00,0.00
DPR,Forest Restoration (00163-CIP),Urban Forestry - Forest Restoration Program,0.00,200000.00,0.00,200000.00
DPR,Forest Restoration (00163-CIP),Urban Forestry - Green Seattle Partnership,0.00,1597000.00,0.00,1700000.00
DPR,Forest Restoration (00163-CIP),Urban Forestry - Tree Replacement,0.00,95000.00,0.00,95000.00
DPR,Forest Restoration (00164-CIP),Seward Park Forest Restoration,0.00,68000.00,88000.00,88000.00
DPR,Gas Works Park Remediation (10220-CIP),(blank),43039.00,0.00,0.00,0.00
DPR,Golf,Golf,9583965.00,11560548.00,11904448.00,11904447.00
DPR,Golf Projects (35500-CIP),(blank),576641.00,0.00,0.00,0.00
DPR,Judgment and Claims,Judgment and Claims,652212.00,384598.00,710693.00,710693.00
DPR,Maintaining Parks and Facilities - CIP (33140-CIP),Rejuvenate Our P-Patches,0.00,100000.00,200000.00,200000.00
DPR,Natural Resources Management,Natural Resources Management,7539640.00,8536469.00,9210151.00,9124929.00
DPR,Opportunity Fund (33860-CIP),Opportunity Fund Acquisitions- 2008 Parks Levy,0.00,700000.00,0.00,0.00
DPR,Opportunity Fund (36000-CIP),Opportunity Fund Development- 2008 Parks Levy,0.00,0.00,0.00,348000.00
DPR,"Park Cleaning, Landscaping, and Restoration","Park Cleaning, Landscaping, and Restoration",30549601.00,31790049.00,32665281.00,32702663.00
DPR,Parks Infrastructure (00161-CIP),Environmental Remediation Program,0.00,0.00,100000.00,0.00
DPR,Parks Infrastructure (00163-CIP),Environmental Remediation Program,0.00,100000.00,0.00,100000.00
DPR,Parks Infrastructure (00163-CIP),Irrigation Replacement and Outdoor Infrastructure Program,0.00,323000.00,300000.00,300000.00
DPR,Parks Infrastructure (00163-CIP),Pavement Restoration Program,0.00,400000.00,400000.00,400000.00
DPR,Parks Infrastructure (17810-CIP),Parks Upgrade Program,0.00,808000.00,808000.00,808000.00
DPR,"Planning, Development, and Acquisition","Planning, Development, and Acquisition",5700586.00,6918320.00,6969790.00,7415078.00
DPR,Policy Direction and Leadership,Policy Direction and Leadership,7780660.00,3870315.00,4115167.00,4460102.00
DPR,Recreation Facilities and Programs,Recreation Facilities and Programs,24407532.00,27410216.00,28573590.00,28000660.00
DPR,Regional Parks and Strategic Outreach,Regional Parks and Strategic Outreach,0.00,4393146.00,5348504.00,6146850.00
DPR,Seattle Aquarium,Seattle Aquarium,2451118.00,299999.00,1079998.00,1079998.00
DPR,Seattle Conservation Corps,Seattle Conservation Corps,3361784.00,4122534.00,4171356.00,4080475.00
DPR,SR520 Mitigation,(blank),0.00,0.00,0.00,0.00
DPR,"Swimming, Boating, and Aquatics","Swimming, Boating, and Aquatics",9213398.00,9664355.00,9821934.00,9537806.00
DPR,West Point Settlement Projects (33110-CIP),(blank),82795.00,0.00,0.00,0.00
DPR,Woodland Park Zoo,Woodland Park Zoo,6677014.00,6923817.00,7123404.00,7078143.00
EDLEVY,Administration and Evaluation,Administration and Evaluation,1109869.00,1513612.00,1546452.00,1546452.00
EDLEVY,Early Learning and School Readiness,Early Learning and School Readiness,6336356.00,8178209.00,9153954.00,9153954.00
EDLEVY,Elementary School Academic Achievement,Elementary School Academic Achievement,5467457.00,6965431.00,8234147.00,8234147.00
EDLEVY,High School Academic Achievement and College/Career Preparation,High School Academic Achievement and College/Career Preparation,2368128.00,2719223.00,2946048.00,2946048.00
EDLEVY,Middle School Academic Achievement and College/Career Preparation,Middle School Academic Achievement and College/Career Preparation,5441405.00,6213583.00,6694169.00,6694169.00
EDLEVY,Student Health,Student Health,6112785.00,6335971.00,6494370.00,6494370.00
